cust_out_max,out_duration_max,area_cost_out_h,area_KW_h,wind_speed,impact_time,outage_slope,recovery_duration,recovery_slope,cust_normalized,gust,precipitation,ppocc,wind_direction,dew_point_temp,Air_temp,Pressure,RH,cummulative_customer_out
5036,1.0,0.001746756601620624,0.7215927872025856,20.7,0.75,0.0031057562101633653,0.25,0.009317268630490096,0.002329317157622524,28.75,0.0,0.0,190.0,62.4,74.0,1010.8,75.48,10070
9994,4.5,0.015851821941372066,6.548456932294508,24.15,1.0,0.004622556726227066,3.5,0.0013207304932077331,0.004622556726227066,39.1,31.75,1.0,330.0,69.8,70.7,1010.4,100.0,34105
6428,2.5,0.006101969142560592,2.5207501244989032,16.1,0.5,0.005946326723271478,2.0,0.0014865816808178696,0.002973163361635739,26.45,4.06,1.0,220.0,67.0,73.0,1019.5,99.31,12436
5011,1.0,0.0017383153708568013,0.7181056778774308,12.65,0.5,0.004635507655618137,0.5,0.004635507655618137,0.0023177538278090683,20.7,0.0,0.0,220.0,66.0,71.0,1019.9,97.6,5011
14682,6.75,0.030034592857469934,12.40742159062621,29.9,3.25,0.0020895114870296263,3.5,0.0019402606665275101,0.006790912332846286,54.05,5.08,1.0,360.0,73.2,88.3,1019.2,91.2,68863
12329,6.25,0.023715001847820105,9.79677092160756,20.7,2.75,0.0020736624475650297,3.5,0.0016293062088010948,0.0057025717308038315,31.05,17.78,1.0,350.0,74.8,83.0,1011.4,100.0,42133
7459,1.75,0.0044430938475222325,1.8354614891746421,23.0,0.5,0.006900070166285308,1.25,0.002760028066514123,0.003450035083142654,46.0,0.001,1.0,210.0,66.0,75.0,1011.4,93.93,7459
6685,1.0,0.002319025794088548,0.9579996919997251,27.6,0.5,0.006184068784236128,0.5,0.006184068784236128,0.003092034392118064,44.85,0.0,0.0,170.0,57.6,63.0,997.6,92.75,6685
9557,4.25,0.01556389502901702,6.429513066272103,14.95,2.25,0.0019646354315946044,2.0,0.00221021486054393,0.00442042972108786,16.1,2.79,1.0,80.0,40.3,40.3,1025.8,100.0,18527
5430,1.0,0.0018836664266119398,0.7781508343393433,34.5,0.5,0.005023110470965173,0.5,0.005023110470965173,0.0025115552354825865,49.45,0.001,1.0,250.0,38.0,42.0,999.0,86.25,5430
12117,7.5,0.030350618661271683,12.537973231525502,39.1,1.0,0.005604514693985727,6.5,0.000862233029843958,0.005604514693985727,58.65,0.001,1.0,300.0,32.4,41.0,1018.2,77.89,54231
5848,1.25,0.0027047784766654316,1.1173558112972115,5.75,0.75,0.0036065254799514217,0.5,0.0054097882199271325,0.0027048941099635663,18.4,0.0,0.0,140.0,14.0,21.0,1034.7,88.88,11695
5634,2.0,0.004434305716864007,1.8318310739868096,14.95,1.0,0.002605912006760385,1.0,0.002605912006760385,0.002605912006760385,24.15,0.0,0.0,230.0,65.8,73.0,1011.2,86.53,10910
5986,1.0,0.0020116724876468946,0.8310306976673758,9.2,0.75,0.0036916315873784557,0.25,0.011074894762135367,0.0027687236905338418,17.25,14.99,1.0,220.0,64.0,64.0,1004.9,100.0,11411
31346,17.0,0.11297546677693457,46.67065914131695,29.9,2.75,0.005272205619383034,14.25,0.0010174431897054977,0.014498565453303342,46.0,2.79,1.0,280.0,77.0,83.0,999.8,100.0,218945
6791,2.5,0.005935804093141234,2.452106616276335,20.7,1.25,0.0025128503284216936,1.25,0.0025128503284216936,0.003141062910527117,31.05,22.35,1.0,230.0,75.0,79.0,998.2,100.0,23048
12900,6.0,0.024340115457535522,10.05500808615259,29.9,1.5,0.003977785455828774,4.5,0.001325928485276258,0.005966678183743161,51.75,24.89,1.0,340.0,72.0,85.0,1010.3,100.0,50403
5482,1.5,0.0030179134480138132,1.2467132366741873,16.1,0.5,0.005071213922989148,1.0,0.002535606961494574,0.002535606961494574,26.45,0.25,1.0,360.0,73.4,79.7,1015.5,90.32,10545
6800,3.25,0.008187878207609875,3.382448276779285,18.4,1.5,0.0020968171395066406,1.75,0.0017972718338628347,0.003145225709259961,34.5,4.57,1.0,320.0,75.0,88.0,1008.3,93.79,19044
15705,5.25,0.025054151073516412,10.349979320163973,27.6,1.5,0.004842722525875263,3.75,0.0019370890103501052,0.0072640837888128945,55.2,13.46,1.0,290.0,76.0,84.0,1011.1,100.0,100418
279858,65.75,4.0494463015152125,1672.8439672857185,25.3,4.5,0.028765247599414186,61.25,0.002113365129752879,0.12944361419736383,34.5,1.27,1.0,360.0,70.0,83.0,1020.2,100.0,6539752
47242,3.0,0.05813857216928531,24.01729828683071,11.5,0.5,0.043701986163782076,2.5,0.008740397232756415,0.021850993081891038,19.55,0.0,0.0,110.0,62.8,84.0,1019.8,54.33,92947
44483,54.75,0.5485078216675524,226.5909786585544,12.65,1.25,0.016459891202942452,53.5,0.0003845768972650105,0.020574864003678063,20.7,5.33,1.0,360.0,74.0,88.0,1018.5,100.0,989757
5386,1.5,0.003063472967478828,1.265534073305845,11.5,0.75,0.0033216050333478727,0.75,0.0033216050333478727,0.0024912037750109044,20.7,0.0,0.0,360.0,60.3,80.0,1017.8,61.66,10447
5922,1.5,0.003314397224430818,1.369191980642639,27.6,1.25,0.002191297252969116,0.25,0.010956486264845581,0.0027391215662113952,42.55,0.0,0.0,210.0,43.7,78.0,999.9,32.26,11556
8982,3.0,0.00951777676945542,3.931835185664293,37.95,1.25,0.003323578508302702,1.75,0.0023739846487876443,0.0041544731353783775,60.95,15.24,1.0,260.0,62.0,71.0,1005.3,100.0,28987
6055,1.5,0.0031995733593832027,1.3217577400963552,32.2,0.5,0.00560127696163796,1.0,0.00280063848081898,0.00280063848081898,69.0,0.0,0.0,280.0,31.5,41.0,1004.5,72.23,11248
6698,0.75,0.0015490236618105307,0.6399084454763561,32.2,0.5,0.006196094647242123,0.25,0.012392189294484246,0.0030980473236210614,48.3,0.0,0.0,270.0,29.8,41.0,1005.5,66.38,6698
15418,1.0,0.004423551820137492,1.8273885922438038,12.65,0.5,0.014262673525108845,0.5,0.014262673525108845,0.007131336762554423,21.85,0.0,0.0,220.0,42.0,75.2,1018.1,31.97,15418
12240,4.25,0.014920511358196343,6.163728459626056,27.6,1.0,0.00566140627666793,3.25,0.0017419711620516706,0.00566140627666793,55.2,5.08,1.0,330.0,72.0,77.2,1010.6,100.0,39103
15504,8.25,0.05736891693690169,23.699350346170014,23.0,0.5,0.014342229234225422,7.75,0.0009253051118855111,0.007171114617112711,34.5,0.0,0.0,260.0,68.0,88.0,1008.5,85.54,15504
